"Evaluation Overview, all Databases, Test Series LARGE"
QueryScenario,Phase,"sqlite4java","SQLite-Xerial","PostgreSQL","Virtuoso","MongoDB"
SCHEMA_CHANGE_INTRODUCE_NEW_PROPERTY,Query,"64333.54"
SCHEMA_CHANGE_INTRODUCE_STRING_OP,Prepare,"8941.02"
SCHEMA_CHANGE_INTRODUCE_STRING_OP,Query,"523545.30"
SCHEMA_CHANGE_MIGRATE_RDF_TYPE,Prepare,"17463.10"
SCHEMA_CHANGE_MIGRATE_RDF_TYPE,Query,"1427933.04"
SCHEMA_CHANGE_REMOVE_RDF_TYPE,Prepare,"81.16"
SCHEMA_CHANGE_REMOVE_RDF_TYPE,Query,"156.75"
UPDATE_LOW_SELECTIVITY_PAPER_MEDIUM,Prepare,"12493.90"
UPDATE_LOW_SELECTIVITY_PAPER_MEDIUM,Query,"347979.92"
UPDATE_HIGH_SELECTIVITY_NON_ISSUED,Prepare,"18606.37"
UPDATE_HIGH_SELECTIVITY_NON_ISSUED,Query,"46110.89"
DELETE_LOW_SELECTIVITY_PAPER_MEDIUM,Prepare,"8688.58"
DELETE_LOW_SELECTIVITY_PAPER_MEDIUM,Query,"29052.12"
DELETE_HIGH_SELECTIVIY_NON_ISSUED,Prepare,"6470.05"
DELETE_HIGH_SELECTIVIY_NON_ISSUED,Query,"666.58"

"Evaluation Details for Virtuoso, Version 07.20.3214 / Virtuoso JDBC 4.1, Test Series LARGE"
QueryScenario,Phase,First time,Average time,Min time,Max time
Set up,,"1.44"
Load,,"207890.65"
ENTITY_RETRIEVAL_BY_ID_ONE_ENTITY,Prepare,"12467.70"
ENTITY_RETRIEVAL_BY_ID_ONE_ENTITY,Query,"7680.51","7641.97","7634.99","7680.51"
ENTITY_RETRIEVAL_BY_ID_TEN_ENTITIES,Prepare,"3407.29"
ENTITY_RETRIEVAL_BY_ID_TEN_ENTITIES,Query,"112780.93","113808.56","112780.93","114172.30"
ENTITY_RETRIEVAL_BY_ID_100_ENTITIES,Prepare,"5607.51"
ENTITY_RETRIEVAL_BY_ID_100_ENTITIES,Query,"1064489.66","1023295.66","1044022.07","1064489.66"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_TOP10,Prepare,"7.59"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_TOP10,Query,"736.86","737.31","736.86","744.74"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_TOP100,Prepare,"2.50"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_TOP100,Query,"722.47","734.67","722.47","741.99"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_ALL,Prepare,"2.37"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_ALL,Query,"3208.62","3049.73","2944.30","3208.62"
AGGREGATE_ISSUES_PER_DECADE_TOP10,Prepare,"2.54"
AGGREGATE_ISSUES_PER_DECADE_TOP10,Query,"2309.30","2313.53","2309.30","2318.23"
AGGREGATE_ISSUES_PER_DECADE_TOP100,Prepare,"2.98"
AGGREGATE_ISSUES_PER_DECADE_TOP100,Query,"2328.33","2322.07","2317.44","2328.33"
AGGREGATE_ISSUES_PER_DECADE_ALL,Prepare,"2.93"
AGGREGATE_ISSUES_PER_DECADE_ALL,Query,"2321.71","2321.45","2321.71","2323.27"
CONDITIONAL_TABLE_SCAN_ALL_STUDIES,Prepare,"9.50"
CONDITIONAL_TABLE_SCAN_ALL_STUDIES,Query,"339404.68","339349.75","339404.68","339551.30"
CONDITIONAL_TABLE_SCAN_ALL_BIBLIOGRAPHIC_RESOURCES,Prepare,"8.35"
CONDITIONAL_TABLE_SCAN_ALL_BIBLIOGRAPHIC_RESOURCES,Query,"8553977.75","8553977.75","8553977.75","8553977.75"
CONDITIONAL_TABLE_SCAN_ALL_BIBLIOGRAPHIC_RESOURCES_AND_STUDIES,Prepare,"51.28"
CONDITIONAL_TABLE_SCAN_ALL_BIBLIOGRAPHIC_RESOURCES_AND_STUDIES,Query,"335140.29","341711.87","332147.89","335140.29"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_ONE_ENTITY,Prepare,"1675.35"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_ONE_ENTITY,Query,"346.73","293.18","260.86","346.73"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_10_ENTITIES,Prepare,"1624.09"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_10_ENTITIES,Query,"19.00","17.93","16.80","19.00"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_100_ENTITIES,Prepare,"1677.50"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_100_ENTITIES,Query,"277.90","272.73","263.00","277.90"
SCHEMA_CHANGE_INTRODUCE_NEW_PROPERTY,Prepare,"Error"
SCHEMA_CHANGE_INTRODUCE_NEW_PROPERTY,Query,"Error"
