"Evaluation Overview, all Databases, Test Series MEDIUM"
QueryScenario,Phase,"sqlite4java","SQLite-Xerial","PostgreSQL","MongoDB"
CONDITIONAL_TABLE_SCAN_ALL_BIBLIOGRAPHIC_RESOURCES_AND_STUDIES,Prepare,"0.00"
CONDITIONAL_TABLE_SCAN_ALL_BIBLIOGRAPHIC_RESOURCES_AND_STUDIES,Query,"4753.62","5081.69","4886.67","4907.33","4753.62","5081.69"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_ONE_ENTITY,Prepare,"3626.48"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_ONE_ENTITY,Query,"7385.30","7368.93","7370.72","7374.98","7368.93","7385.30"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_10_ENTITIES,Prepare,"3878.45"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_10_ENTITIES,Query,"83988.05","86836.24","90342.80","87055.70","83988.05","86836.24"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_100_ENTITIES,Prepare,"3824.36"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_100_ENTITIES,Query,"725191.39","708371.33","738001.33","723854.69","708371.33","725191.39"
SCHEMA_CHANGE_INTRODUCE_NEW_PROPERTY,Prepare,"0.00"
SCHEMA_CHANGE_INTRODUCE_NEW_PROPERTY,Query,"17724.65"
SCHEMA_CHANGE_INTRODUCE_STRING_OP,Prepare,"0.00"
SCHEMA_CHANGE_INTRODUCE_STRING_OP,Query,"233164.96"
SCHEMA_CHANGE_MIGRATE_RDF_TYPE,Prepare,"0.00"
SCHEMA_CHANGE_MIGRATE_RDF_TYPE,Query,"66910.28"
SCHEMA_CHANGE_REMOVE_RDF_TYPE,Prepare,"0.00"
SCHEMA_CHANGE_REMOVE_RDF_TYPE,Query,"15041.54"
UPDATE_LOW_SELECTIVITY_PAPER_MEDIUM,Prepare,"0.00"
UPDATE_LOW_SELECTIVITY_PAPER_MEDIUM,Query,"15549.93"
UPDATE_HIGH_SELECTIVITY_NON_ISSUED,Prepare,"0.00"
UPDATE_HIGH_SELECTIVITY_NON_ISSUED,Query,"3800.26"
DELETE_LOW_SELECTIVITY_PAPER_MEDIUM,Prepare,"0.00"
DELETE_LOW_SELECTIVITY_PAPER_MEDIUM,Query,"16511.32"
DELETE_HIGH_SELECTIVIY_NON_ISSUED,Prepare,"0.00"
DELETE_HIGH_SELECTIVIY_NON_ISSUED,Query,"659.22"

Verify Results
QueryScenario,"sqlite4java","SQLite-Xerial","PostgreSQL","MongoDB"
ENTITY_RETRIEVAL_BY_ID_ONE_ENTITY,"183003720","183003720","2147029917","-1234568223"
ENTITY_RETRIEVAL_BY_ID_TEN_ENTITIES,"-697403916","-697403916","-1064698612","-1601278454"
ENTITY_RETRIEVAL_BY_ID_100_ENTITIES,"712704393","712704393","-429770817","-1854819011"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_TOP10,"-1171407182","-1171407182","1036830978","-155495598"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_TOP100,"1565953347","1565953347","2046082798","-1713102365"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_ALL,"924193170","924193170","-699181208","1940104754"
AGGREGATE_ISSUES_PER_DECADE_TOP10,"703096602","703096602","703096602","322806878"
AGGREGATE_ISSUES_PER_DECADE_TOP100,"319031819","319031819","319031819","1983994085"
AGGREGATE_ISSUES_PER_DECADE_ALL,"319031819","319031819","319031819","1983994085"
CONDITIONAL_TABLE_SCAN_ALL_STUDIES,"-2076523569","-2076523569","1460937583","-1574077829"
CONDITIONAL_TABLE_SCAN_ALL_BIBLIOGRAPHIC_RESOURCES,"-597014367","-597014367","203022939","15976803"
CONDITIONAL_TABLE_SCAN_ALL_BIBLIOGRAPHIC_RESOURCES_AND_STUDIES,"2007091515","2007091515","-1702283323","-637540735"
GRAPH_LIKE_RELATED_BY_DCTERMS_SUBJECTS_1HOP_ONE_ENTITY,"320861599","320861599","1487492447","1653937535"
