"Evaluation Overview, all Databases, Test Series SMALL"
QueryScenario,Phase,"sqlite4java","SQLite-Xerial","PostgreSQL","Virtuoso","Fuseki","MongoDB","ArangoDB"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_TOP10,Query,"203.57","124.42","95.49","203.57"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_TOP100,Prepare,"0.47"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_TOP100,Query,"85.41","84.95","79.16","85.41"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_ALL,Prepare,"0.35"
AGGREGATE_PUBLICATIONS_PER_PUBLISHER_ALL,Query,"451.81","465.43","382.54","451.81"
AGGREGATE_ISSUES_PER_DECADE_TOP10,Prepare,"0.37"
AGGREGATE_ISSUES_PER_DECADE_TOP10,Query,"197.67","166.13","167.52","197.67"
AGGREGATE_ISSUES_PER_DECADE_TOP100,Prepare,"0.38"
AGGREGATE_ISSUES_PER_DECADE_TOP100,Query,"146.01","150.49","142.53","146.01"
AGGREGATE_ISSUES_PER_DECADE_ALL,Prepare,"0.41"
AGGREGATE_ISSUES_PER_DECADE_ALL,Query,"109.60","116.57","109.60","126.39"
CONDITIONAL_TABLE_SCAN_ALL_STUDIES,Prepare,"0.33"
CONDITIONAL_TABLE_SCAN_ALL_STUDIES,Query,"7284.51","6831.94","6717.91","7284.51"
